X0,y,X89
2015-12-17 14:25:00,21.0749999997,21.9
2015-12-17 14:30:00,21.0749999997,21.9
2015-12-17 14:35:00,21.1062499999,21.9
2015-12-17 14:40:00,21.1375,22.0
2015-12-17 14:45:00,21.1375,22.0
2015-12-17 14:50:00,21.15625,22.0
2015-12-17 14:55:00,21.175,22.0
2015-12-17 15:00:00,21.175,22.0
2015-12-17 15:05:00,21.20625,22.0
2015-12-17 15:10:00,21.2375,22.0
2015-12-17 15:15:00,21.2375,22.0
2015-12-17 15:20:00,21.25625,22.0
2015-12-17 15:25:00,21.275,22.0
2015-12-17 15:30:00,21.275,22.0
2015-12-17 15:35:00,21.275,22.0
2015-12-17 15:40:00,21.275,22.0
2015-12-17 15:45:00,21.275,22.0
2015-12-17 15:50:00,21.275,21.9
2015-12-17 15:55:00,21.275,21.9
2015-12-17 16:00:00,21.275,21.9
2015-12-17 16:25:00,21.275,21.8
2015-12-17 16:30:00,21.275,21.8
2015-12-17 16:35:00,21.2625,21.8
2015-12-17 16:40:00,21.25,21.8
2015-12-17 16:45:00,21.25,21.7
2015-12-17 16:50:00,21.25,21.7
2015-12-17 16:55:00,21.25,21.7
2015-12-17 17:00:00,21.25,21.7
2015-12-17 17:05:00,21.24375,21.7
2015-12-17 17:10:00,21.2375,21.7
2015-12-17 17:15:00,21.2375,21.7
2015-12-17 17:20:00,21.23125,21.7
2015-12-17 17:25:00,21.225,21.7
2015-12-17 17:30:00,21.225,21.7
2015-12-17 17:35:00,21.225,21.7
2015-12-17 17:40:00,21.225,21.7
2015-12-17 17:45:00,21.225,21.6
2015-12-17 17:50:00,21.225,21.6
2015-12-17 17:55:00,21.225,21.6
2015-12-17 18:00:00,21.225,21.6
2015-12-17 18:05:00,21.21875,21.6
2015-12-17 18:10:00,21.2125,21.6
2015-12-17 18:15:00,21.2125,21.6
2015-12-17 18:20:00,21.1875,21.5
2015-12-17 18:25:00,21.1625,21.5
2015-12-17 18:30:00,21.1625,21.5
2015-12-17 18:35:00,21.1375,21.4
2015-12-17 18:40:00,21.1125,21.4
2015-12-17 18:45:00,21.1125,21.4
2015-12-17 18:50:00,21.09375,21.4
2015-12-17 18:55:00,21.075,21.4
2015-12-17 19:00:00,21.075,21.4
2015-12-17 19:05:00,21.0625,21.4
2015-12-17 19:10:00,21.05,21.4
2015-12-17 19:15:00,21.05,21.4
2015-12-17 19:20:00,21.025,21.4
2015-12-17 19:25:00,21.0,21.3
2015-12-17 19:30:00,21.0,21.3
2015-12-17 19:35:00,20.99375,21.3
2015-12-17 19:40:00,20.9875,21.3
2015-12-17 19:45:00,20.9875,21.3
2015-12-17 19:50:00,20.95625,21.2
2015-12-17 19:55:00,20.925,21.2
2015-12-17 20:00:00,20.925,21.2
2015-12-17 20:05:00,20.9125,21.2
2015-12-17 20:10:00,20.9,21.2
2015-12-17 20:15:00,20.9,21.2
2015-12-17 20:20:00,20.925,19.7
2015-12-17 20:25:00,20.95,18.4
2015-12-17 20:30:00,20.95,17.9
2015-12-17 20:35:00,20.95,17.2
2015-12-17 20:40:00,20.95,16.7
2015-12-17 20:45:00,20.95,16.5
2015-12-17 20:50:00,20.95,16.1
